Notes,ICD Chapter,ICD Chapter Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,Diseases of the circulatory system,I00-I99,2019,2019,"Feb., 2019",Feb-19,12125,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2019,2019,"Mar., 2019",Mar-19,13433,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2019,2019,"Apr., 2019",Apr-19,12443,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2019,2019,"May, 2019",May-19,12232,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2019,2019,"Jun., 2019",Jun-19,11556,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2019,2019,"Jul., 2019",Jul-19,11870,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2019,2019,"Aug., 2019",Aug-19,11816,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2019,2019,"Sep., 2019",Sep-19,11752,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2019,2019,"Oct., 2019",Oct-19,12693,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2019,2019,"Nov., 2019",Nov-19,12955,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2019,2019,"Dec., 2019",Dec-19,13683,Not Applicable,Not Applicable,Not Applicable
Total,Diseases of the circulatory system,I00-I99,2019,2019,,,150005,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2020,2020,"Jan., 2020",Jan-20,14073,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2020,2020,"Feb., 2020",Feb-20,12782,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2020,2020,"Mar., 2020",Mar-20,13718,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2020,2020,"Apr., 2020",Apr-20,13402,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2020,2020,"May, 2020",May-20,12759,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2020,2020,"Jun., 2020",Jun-20,12291,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2020,2020,"Jul., 2020",Jul-20,13005,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2020,2020,"Aug., 2020",Aug-20,13079,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2020,2020,"Sep., 2020",Sep-20,12760,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2020,2020,"Oct., 2020",Oct-20,13599,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2020,2020,"Nov., 2020",Nov-20,13539,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2020,2020,"Dec., 2020",Dec-20,15257,Not Applicable,Not Applicable,Not Applicable
Total,Diseases of the circulatory system,I00-I99,2020,2020,,,160264,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2021,2021,"Jan., 2021",Jan-21,15098,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2021,2021,"Feb., 2021",Feb-21,13121,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2021,2021,"Mar., 2021",Mar-21,13679,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2021,2021,"Apr., 2021",Apr-21,13130,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2021,2021,"May, 2021",May-21,13108,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2021,2021,"Jun., 2021",Jun-21,12460,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2021,2021,"Jul., 2021",Jul-21,13048,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2021,2021,"Aug., 2021",Aug-21,13283,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2021,2021,"Sep., 2021",Sep-21,13189,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2021,2021,"Oct., 2021",Oct-21,13952,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2021,2021,"Nov., 2021",Nov-21,13966,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2021,2021,"Dec., 2021",Dec-21,14856,Not Applicable,Not Applicable,Not Applicable
Total,Diseases of the circulatory system,I00-I99,2021,2021,,,162890,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2022,2022,"Jan., 2022",Jan-22,16355,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2022,2022,"Feb., 2022",Feb-22,13820,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2022,2022,"Mar., 2022",Mar-22,13938,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2022,2022,"Apr., 2022",Apr-22,13220,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2022,2022,"May, 2022",May-22,13211,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2022,2022,"Jun., 2022",Jun-22,12668,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2022,2022,"Jul., 2022",Jul-22,13273,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2022,2022,"Aug., 2022",Aug-22,13205,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2022,2022,"Sep., 2022",Sep-22,12928,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2022,2022,"Oct., 2022",Oct-22,13870,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2022,2022,"Nov., 2022",Nov-22,13878,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2022,2022,"Dec., 2022",Dec-22,15027,Not Applicable,Not Applicable,Not Applicable
Total,Diseases of the circulatory system,I00-I99,2022,2022,,,165393,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2023,2023,"Jan., 2023 ",Jan-23,14900,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2023,2023,"Feb., 2023 ",Feb-23,12842,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2023,2023,"Mar., 2023 ",Mar-23,14025,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2023,2023,"Apr., 2023 ",Apr-23,13313,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2023,2023,"May, 2023 ",May-23,13379,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2023,2023,"Jun., 2023 ",Jun-23,12610,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2023,2023,"Jul., 2023 ",Jul-23,12728,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2023,2023,"Aug., 2023 ",Aug-23,13194,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2023,2023,"Sep., 2023 ",Sep-23,12852,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2023,2023,"Oct., 2023 ",Oct-23,13695,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2023,2023,"Nov., 2023 ",Nov-23,13907,Not Applicable,Not Applicable,Not Applicable
,Diseases of the circulatory system,I00-I99,2023,2023,"Dec., 2023 ",Dec-23,15194,Not Applicable,Not Applicable,Not Applicable
Total,Diseases of the circulatory system,I00-I99,2023,2023,,,162639,Not Applicable,Not Applicable,Not Applicable
Total,Diseases of the circulatory system,I00-I99,,,,,949001,Not Applicable,Not Applicable,Not Applicable
Total,,,,,,,949001,Not Applicable,Not Applicable,Not Applicable
