"Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Education","Education Code","Deaths","Population","Crude Rate","AGE","adjusted_population","Cause"
"2 years",2,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"2 years",2,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"2 years",2,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"2 years",2,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"2 years",2,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"2 years",2,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",2,NA,"Diseases of Heart"
"3 years",3,"Female","F","8th grade or less",1,23,"Not Applicable","Not Applicable",3,5548879,"Diseases of Heart"
"3 years",3,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Male","M","8th grade or less",1,28,"Not Applicable","Not Applicable",3,5798507,"Diseases of Heart"
"3 years",3,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"3 years",3,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",3,NA,"Diseases of Heart"
"4 years",4,"Female","F","8th grade or less",1,16,"Not Applicable","Not Applicable",4,5657773,"Diseases of Heart"
"4 years",4,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Male","M","8th grade or less",1,28,"Not Applicable","Not Applicable",4,5916784,"Diseases of Heart"
"4 years",4,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"4 years",4,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",4,NA,"Diseases of Heart"
"5 years",5,"Female","F","8th grade or less",1,25,"Not Applicable","Not Applicable",5,5787753,"Diseases of Heart"
"5 years",5,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Male","M","8th grade or less",1,24,"Not Applicable","Not Applicable",5,6055775,"Diseases of Heart"
"5 years",5,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"5 years",5,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",5,NA,"Diseases of Heart"
"6 years",6,"Female","F","8th grade or less",1,20,"Not Applicable","Not Applicable",6,5894337,"Diseases of Heart"
"6 years",6,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Male","M","8th grade or less",1,20,"Not Applicable","Not Applicable",6,6164187,"Diseases of Heart"
"6 years",6,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"6 years",6,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",6,NA,"Diseases of Heart"
"7 years",7,"Female","F","8th grade or less",1,26,"Not Applicable","Not Applicable",7,5954383,"Diseases of Heart"
"7 years",7,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Male","M","8th grade or less",1,26,"Not Applicable","Not Applicable",7,6229500,"Diseases of Heart"
"7 years",7,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"7 years",7,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",7,NA,"Diseases of Heart"
"8 years",8,"Female","F","8th grade or less",1,18,"Not Applicable","Not Applicable",8,5958957,"Diseases of Heart"
"8 years",8,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Male","M","8th grade or less",1,22,"Not Applicable","Not Applicable",8,6234437,"Diseases of Heart"
"8 years",8,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"8 years",8,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",8,NA,"Diseases of Heart"
"9 years",9,"Female","F","8th grade or less",1,19,"Not Applicable","Not Applicable",9,5945246,"Diseases of Heart"
"9 years",9,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Male","M","8th grade or less",1,13,"Not Applicable","Not Applicable",9,6228925,"Diseases of Heart"
"9 years",9,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"9 years",9,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",9,NA,"Diseases of Heart"
"10 years",10,"Female","F","8th grade or less",1,23,"Not Applicable","Not Applicable",10,5959700,"Diseases of Heart"
"10 years",10,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Male","M","8th grade or less",1,29,"Not Applicable","Not Applicable",10,6251780,"Diseases of Heart"
"10 years",10,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"10 years",10,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",10,NA,"Diseases of Heart"
"11 years",11,"Female","F","8th grade or less",1,30,"Not Applicable","Not Applicable",11,6021427,"Diseases of Heart"
"11 years",11,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Male","M","8th grade or less",1,32,"Not Applicable","Not Applicable",11,6326352,"Diseases of Heart"
"11 years",11,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"11 years",11,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",11,NA,"Diseases of Heart"
"12 years",12,"Female","F","8th grade or less",1,33,"Not Applicable","Not Applicable",12,6127019,"Diseases of Heart"
"12 years",12,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
"12 years",12,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
"12 years",12,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
"12 years",12,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
"12 years",12,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
"12 years",12,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
"12 years",12,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
"12 years",12,"Male","M","8th grade or less",1,39,"Not Applicable","Not Applicable",12,6439131,"Diseases of Heart"
"12 years",12,"Male","M","9th through 12th grade with no diploma",2,5,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
"12 years",12,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
"12 years",12,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
"12 years",12,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
"12 years",12,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
"12 years",12,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",12,NA,"Diseases of Heart"
