"Ten-Year Age Groups","Sex","Education","Deaths","adjusted_population","Cause"
"1-4 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"All Deaths"
"5-14 years","Female","8th grade or less",6931,60354869,"All Deaths"
"5-14 years","Female","9th through 12th grade with no diploma",553,NA,"All Deaths"
"5-14 years","Female","High school graduate or GED completed",0,NA,"All Deaths"
"5-14 years","Female","Some college credit, but not a degree",0,NA,"All Deaths"
"5-14 years","Female","Associate degree (AA,AS)",0,NA,"All Deaths"
"5-14 years","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"All Deaths"
"5-14 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"All Deaths"
"5-14 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"All Deaths"
"5-14 years","Male","8th grade or less",9539,63270818,"All Deaths"
"5-14 years","Male","9th through 12th grade with no diploma",906,NA,"All Deaths"
"5-14 years","Male","High school graduate or GED completed",0,NA,"All Deaths"
"5-14 years","Male","Some college credit, but not a degree",0,NA,"All Deaths"
"5-14 years","Male","Associate degree (AA,AS)",0,NA,"All Deaths"
"5-14 years","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"All Deaths"
"5-14 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"All Deaths"
"5-14 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"All Deaths"
"15-24 years","Female","8th grade or less",1027,3231970.38875783,"All Deaths"
"15-24 years","Female","9th through 12th grade with no diploma",8559,22125941.0993076,"All Deaths"
"15-24 years","Female","High school graduate or GED completed",11763,13583288.1740219,"All Deaths"
"15-24 years","Female","Some college credit, but not a degree",5282,15328451.6994566,"All Deaths"
"15-24 years","Female","Associate degree (AA,AS)",978,3129917.1683501,"All Deaths"
"15-24 years","Female","Bachelor’s degree (BA, AB, BS)",1074,6216340.19976223,"All Deaths"
"15-24 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",71,538143.462980643,"All Deaths"
"15-24 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",5,59142.8073630288,"All Deaths"
"15-24 years","Male","8th grade or less",3039,3927319.41928984,"All Deaths"
"15-24 years","Male","9th through 12th grade with no diploma",24841,23773989.1519258,"All Deaths"
"15-24 years","Male","High school graduate or GED completed",35586,17725505.0077499,"All Deaths"
"15-24 years","Male","Some college credit, but not a degree",10451,14176193.4741762,"All Deaths"
"15-24 years","Male","Associate degree (AA,AS)",1726,2525692.02533875,"All Deaths"
"15-24 years","Male","Bachelor’s degree (BA, AB, BS)",1746,4583401.48356485,"All Deaths"
"15-24 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",122,333993.224039214,"All Deaths"
"15-24 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",14,57597.2139154368,"All Deaths"
"25-34 years","Female","8th grade or less",1776,927808.745423385,"All Deaths"
"25-34 years","Female","9th through 12th grade with no diploma",8695,2600102.46335049,"All Deaths"
"25-34 years","Female","High school graduate or GED completed",29405,15454810.2395185,"All Deaths"
"25-34 years","Female","Some college credit, but not a degree",11902,10062467.562458,"All Deaths"
"25-34 years","Female","Associate degree (AA,AS)",5059,7284464.92503135,"All Deaths"
"25-34 years","Female","Bachelor’s degree (BA, AB, BS)",6196,20690336.5449832,"All Deaths"
"25-34 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",1626,8162636.91368959,"All Deaths"
"25-34 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",394,2054182.60554548,"All Deaths"
"25-34 years","Male","8th grade or less",5846,1378375.39692527,"All Deaths"
"25-34 years","Male","9th through 12th grade with no diploma",24136,3278271.20278481,"All Deaths"
"25-34 years","Male","High school graduate or GED completed",81050,21247492.1730569,"All Deaths"
"25-34 years","Male","Some college credit, but not a degree",24185,11406602.3586941,"All Deaths"
"25-34 years","Male","Associate degree (AA,AS)",8182,6376069.08534772,"All Deaths"
"25-34 years","Male","Bachelor’s degree (BA, AB, BS)",10450,18615037.9833857,"All Deaths"
"25-34 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",1769,5273396.62222859,"All Deaths"
"25-34 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",577,1726866.17757681,"All Deaths"
"35-44 years","Female","8th grade or less",3905,1940130.01330211,"All Deaths"
"35-44 years","Female","9th through 12th grade with no diploma",14396,3055354.26941272,"All Deaths"
"35-44 years","Female","High school graduate or GED completed",47757,13478992.7935605,"All Deaths"
"35-44 years","Female","Some college credit, but not a degree",19054,8662459.42469967,"All Deaths"
"35-44 years","Female","Associate degree (AA,AS)",10853,7377549.9369183,"All Deaths"
"35-44 years","Female","Bachelor’s degree (BA, AB, BS)",12924,17779824.5289747,"All Deaths"
"35-44 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",5017,10011914.6221708,"All Deaths"
"35-44 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1158,2843648.41096116,"All Deaths"
"35-44 years","Male","8th grade or less",10833,2383521.86322579,"All Deaths"
"35-44 years","Male","9th through 12th grade with no diploma",33024,3881613.09488886,"All Deaths"
"35-44 years","Male","High school graduate or GED completed",106853,18626412.1306341,"All Deaths"
"35-44 years","Male","Some college credit, but not a degree",32058,9287352.1341086,"All Deaths"
"35-44 years","Male","Associate degree (AA,AS)",13969,6353577.17100071,"All Deaths"
"35-44 years","Male","Bachelor’s degree (BA, AB, BS)",17508,16220777.7222767,"All Deaths"
"35-44 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",4634,6833556.88562006,"All Deaths"
"35-44 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1601,2753226.99824523,"All Deaths"
"45-54 years","Female","8th grade or less",9219,2072085.49973875,"All Deaths"
"45-54 years","Female","9th through 12th grade with no diploma",22204,2806803.62000732,"All Deaths"
"45-54 years","Female","High school graduate or GED completed",84282,14323360.2124866,"All Deaths"
"45-54 years","Female","Some college credit, but not a degree",33040,8056834.24055204,"All Deaths"
"45-54 years","Female","Associate degree (AA,AS)",21251,7134393.79017566,"All Deaths"
"45-54 years","Female","Bachelor’s degree (BA, AB, BS)",24615,15361099.6753744,"All Deaths"
"45-54 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",9997,8772257.20219829,"All Deaths"
"45-54 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2184,2308329.75946696,"All Deaths"
"45-54 years","Male","8th grade or less",19599,2446323.54011485,"All Deaths"
"45-54 years","Male","9th through 12th grade with no diploma",46917,3511993.44289705,"All Deaths"
"45-54 years","Male","High school graduate or GED completed",163509,18000257.0073115,"All Deaths"
"45-54 years","Male","Some college credit, but not a degree",48615,8161050.80197409,"All Deaths"
"45-54 years","Male","Associate degree (AA,AS)",22808,5864485.46701162,"All Deaths"
"45-54 years","Male","Bachelor’s degree (BA, AB, BS)",31518,14152259.5676181,"All Deaths"
"45-54 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",9765,6218967.50228772,"All Deaths"
"45-54 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3399,2423360.67078506,"All Deaths"
"55-64 years","Female","8th grade or less",24416,2320601.29321048,"All Deaths"
"55-64 years","Female","9th through 12th grade with no diploma",50757,3220697.45682495,"All Deaths"
"55-64 years","Female","High school graduate or GED completed",214509,18982305.014268,"All Deaths"
"55-64 years","Female","Some college credit, but not a degree",72318,9720014.44568931,"All Deaths"
"55-64 years","Female","Associate degree (AA,AS)",48700,8085311.59225438,"All Deaths"
"55-64 years","Female","Bachelor’s degree (BA, AB, BS)",52101,14270431.7026246,"All Deaths"
"55-64 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",18328,6278204.12944329,"All Deaths"
"55-64 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4336,1726280.36568503,"All Deaths"
"55-64 years","Male","8th grade or less",44565,2435886.45259838,"All Deaths"
"55-64 years","Male","9th through 12th grade with no diploma",99721,3955620.01090162,"All Deaths"
"55-64 years","Male","High school graduate or GED completed",366292,20424520.8963519,"All Deaths"
"55-64 years","Male","Some college credit, but not a degree",97650,8682103.64719043,"All Deaths"
"55-64 years","Male","Associate degree (AA,AS)",47285,6327848.94446223,"All Deaths"
"55-64 years","Male","Bachelor’s degree (BA, AB, BS)",66226,12586037.8781127,"All Deaths"
"55-64 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",20003,5333229.13854023,"All Deaths"
"55-64 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8616,2393819.0318425,"All Deaths"
"65-74 years","Female","8th grade or less",47082,2120525.80891785,"All Deaths"
"65-74 years","Female","9th through 12th grade with no diploma",68654,2688427.81949305,"All Deaths"
"65-74 years","Female","High school graduate or GED completed",364256,16452837.4280478,"All Deaths"
"65-74 years","Female","Some college credit, but not a degree",122648,8854131.33115233,"All Deaths"
"65-74 years","Female","Associate degree (AA,AS)",83630,6308239.90229795,"All Deaths"
"65-74 years","Female","Bachelor’s degree (BA, AB, BS)",98708,10404834.8649365,"All Deaths"
"65-74 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",45277,5731054.0266619,"All Deaths"
"65-74 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",9191,1464955.81849258,"All Deaths"
"65-74 years","Male","8th grade or less",67858,1896511.6039099,"All Deaths"
"65-74 years","Male","9th through 12th grade with no diploma",102315,2610344.03672718,"All Deaths"
"65-74 years","Male","High school graduate or GED completed",482829,13392193.7794162,"All Deaths"
"65-74 years","Male","Some college credit, but not a degree",173282,8005786.71886247,"All Deaths"
"65-74 years","Male","Associate degree (AA,AS)",84786,4960732.41555106,"All Deaths"
"65-74 years","Male","Bachelor’s degree (BA, AB, BS)",142269,9736039.54008081,"All Deaths"
"65-74 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",52246,4971393.21261619,"All Deaths"
"65-74 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",24630,2541836.69283622,"All Deaths"
"75-84 years","Female","8th grade or less",88654,1512725.3668373,"All Deaths"
"75-84 years","Female","9th through 12th grade with no diploma",100248,1914570.78559303,"All Deaths"
"75-84 years","Female","High school graduate or GED completed",540187,10480103.7643468,"All Deaths"
"75-84 years","Female","Some college credit, but not a degree",145035,4560777.23003086,"All Deaths"
"75-84 years","Female","Associate degree (AA,AS)",89757,2594197.06458642,"All Deaths"
"75-84 years","Female","Bachelor’s degree (BA, AB, BS)",124766,4611071.821562,"All Deaths"
"75-84 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",63315,2566418.42210808,"All Deaths"
"75-84 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",12085,788994.54493556,"All Deaths"
"75-84 years","Male","8th grade or less",97930,1221045.72436518,"All Deaths"
"75-84 years","Male","9th through 12th grade with no diploma",99645,1408094.21497689,"All Deaths"
"75-84 years","Male","High school graduate or GED completed",487611,6622366.07663903,"All Deaths"
"75-84 years","Male","Some college credit, but not a degree",169549,3350380.84915807,"All Deaths"
"75-84 years","Male","Associate degree (AA,AS)",79371,1734172.30368707,"All Deaths"
"75-84 years","Male","Bachelor’s degree (BA, AB, BS)",177157,4497166.69728814,"All Deaths"
"75-84 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",88462,2623804.12136077,"All Deaths"
"75-84 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",48122,1608828.01252484,"All Deaths"
"85+ years","Female","8th grade or less",180230,1158959.04981759,"All Deaths"
"85+ years","Female","9th through 12th grade with no diploma",137469,851019.241694978,"All Deaths"
"85+ years","Female","High school graduate or GED completed",799369,5068371.43609068,"All Deaths"
"85+ years","Female","Some college credit, but not a degree",172434,1524909.64468739,"All Deaths"
"85+ years","Female","Associate degree (AA,AS)",99577,813664.659639271,"All Deaths"
"85+ years","Female","Bachelor’s degree (BA, AB, BS)",170310,1563294.71095639,"All Deaths"
"85+ years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",73318,771485.97123678,"All Deaths"
"85+ years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",14125,161168.285876917,"All Deaths"
"85+ years","Male","8th grade or less",118134,575226.758177157,"All Deaths"
"85+ years","Male","9th through 12th grade with no diploma",77289,477700.208441055,"All Deaths"
"85+ years","Male","High school graduate or GED completed",395540,2077834.21506853,"All Deaths"
"85+ years","Male","Some college credit, but not a degree",119138,839353.613228105,"All Deaths"
"85+ years","Male","Associate degree (AA,AS)",53441,424853.409945861,"All Deaths"
"85+ years","Male","Bachelor’s degree (BA, AB, BS)",173968,1240142.0354069,"All Deaths"
"85+ years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",83929,652963.748738737,"All Deaths"
"85+ years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",58814,455657.010993651,"All Deaths"
"< 1 year","Female","8th grade or less",307,5327383,"Diseases of Heart"
"< 1 year","Female","9th through 12th grade with no diploma",0,NA,"Diseases of Heart"
"< 1 year","Female","High school graduate or GED completed",0,NA,"Diseases of Heart"
"< 1 year","Female","Some college credit, but not a degree",0,NA,"Diseases of Heart"
"< 1 year","Female","Associate degree (AA,AS)",0,NA,"Diseases of Heart"
"< 1 year","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"Diseases of Heart"
"< 1 year","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Diseases of Heart"
"< 1 year","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Diseases of Heart"
"< 1 year","Male","8th grade or less",377,5568877,"Diseases of Heart"
"< 1 year","Male","9th through 12th grade with no diploma",0,NA,"Diseases of Heart"
"< 1 year","Male","High school graduate or GED completed",0,NA,"Diseases of Heart"
"< 1 year","Male","Some college credit, but not a degree",0,NA,"Diseases of Heart"
"< 1 year","Male","Associate degree (AA,AS)",0,NA,"Diseases of Heart"
"< 1 year","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"Diseases of Heart"
"< 1 year","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Diseases of Heart"
"< 1 year","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Diseases of Heart"
"1-4 years","Female","8th grade or less",150,21990622,"Diseases of Heart"
"1-4 years","Female","9th through 12th grade with no diploma",0,NA,"Diseases of Heart"
"1-4 years","Female","High school graduate or GED completed",0,NA,"Diseases of Heart"
"1-4 years","Female","Some college credit, but not a degree",0,NA,"Diseases of Heart"
"1-4 years","Female","Associate degree (AA,AS)",0,NA,"Diseases of Heart"
"1-4 years","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"Diseases of Heart"
"1-4 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Diseases of Heart"
"1-4 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Diseases of Heart"
"1-4 years","Male","8th grade or less",179,22989969,"Diseases of Heart"
"1-4 years","Male","9th through 12th grade with no diploma",0,NA,"Diseases of Heart"
"1-4 years","Male","High school graduate or GED completed",0,NA,"Diseases of Heart"
"1-4 years","Male","Some college credit, but not a degree",0,NA,"Diseases of Heart"
"1-4 years","Male","Associate degree (AA,AS)",0,NA,"Diseases of Heart"
"1-4 years","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"Diseases of Heart"
"1-4 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Diseases of Heart"
"1-4 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Diseases of Heart"
"5-14 years","Female","8th grade or less",251,60354869,"Diseases of Heart"
"5-14 years","Female","9th through 12th grade with no diploma",13,NA,"Diseases of Heart"
"5-14 years","Female","High school graduate or GED completed",0,NA,"Diseases of Heart"
"5-14 years","Female","Some college credit, but not a degree",0,NA,"Diseases of Heart"
"5-14 years","Female","Associate degree (AA,AS)",0,NA,"Diseases of Heart"
"5-14 years","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"Diseases of Heart"
"5-14 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Diseases of Heart"
"5-14 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Diseases of Heart"
"5-14 years","Male","8th grade or less",286,63270818,"Diseases of Heart"
"5-14 years","Male","9th through 12th grade with no diploma",30,NA,"Diseases of Heart"
"5-14 years","Male","High school graduate or GED completed",0,NA,"Diseases of Heart"
"5-14 years","Male","Some college credit, but not a degree",0,NA,"Diseases of Heart"
"5-14 years","Male","Associate degree (AA,AS)",0,NA,"Diseases of Heart"
"5-14 years","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"Diseases of Heart"
"5-14 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Diseases of Heart"
"5-14 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Diseases of Heart"
"15-24 years","Female","8th grade or less",20,3231970.38875783,"Diseases of Heart"
"15-24 years","Female","9th through 12th grade with no diploma",242,22125941.0993076,"Diseases of Heart"
"15-24 years","Female","High school graduate or GED completed",361,13583288.1740219,"Diseases of Heart"
"15-24 years","Female","Some college credit, but not a degree",190,15328451.6994566,"Diseases of Heart"
"15-24 years","Female","Associate degree (AA,AS)",42,3129917.1683501,"Diseases of Heart"
"15-24 years","Female","Bachelor’s degree (BA, AB, BS)",52,6216340.19976223,"Diseases of Heart"
"15-24 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",5,538143.462980643,"Diseases of Heart"
"15-24 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,59142.8073630288,"Diseases of Heart"
"15-24 years","Male","8th grade or less",67,3927319.41928984,"Diseases of Heart"
"15-24 years","Male","9th through 12th grade with no diploma",462,23773989.1519258,"Diseases of Heart"
"15-24 years","Male","High school graduate or GED completed",739,17725505.0077499,"Diseases of Heart"
"15-24 years","Male","Some college credit, but not a degree",295,14176193.4741762,"Diseases of Heart"
"15-24 years","Male","Associate degree (AA,AS)",58,2525692.02533875,"Diseases of Heart"
"15-24 years","Male","Bachelor’s degree (BA, AB, BS)",68,4583401.48356485,"Diseases of Heart"
"15-24 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",5,333993.224039214,"Diseases of Heart"
"15-24 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,57597.2139154368,"Diseases of Heart"
"25-34 years","Female","8th grade or less",94,927808.745423385,"Diseases of Heart"
"25-34 years","Female","9th through 12th grade with no diploma",512,2600102.46335049,"Diseases of Heart"
"25-34 years","Female","High school graduate or GED completed",1708,15454810.2395185,"Diseases of Heart"
"25-34 years","Female","Some college credit, but not a degree",628,10062467.562458,"Diseases of Heart"
"25-34 years","Female","Associate degree (AA,AS)",273,7284464.92503135,"Diseases of Heart"
"25-34 years","Female","Bachelor’s degree (BA, AB, BS)",347,20690336.5449832,"Diseases of Heart"
"25-34 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",113,8162636.91368959,"Diseases of Heart"
"25-34 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",31,2054182.60554548,"Diseases of Heart"
"25-34 years","Male","8th grade or less",248,1378375.39692527,"Diseases of Heart"
"25-34 years","Male","9th through 12th grade with no diploma",969,3278271.20278481,"Diseases of Heart"
"25-34 years","Male","High school graduate or GED completed",3768,21247492.1730569,"Diseases of Heart"
"25-34 years","Male","Some college credit, but not a degree",1262,11406602.3586941,"Diseases of Heart"
"25-34 years","Male","Associate degree (AA,AS)",475,6376069.08534772,"Diseases of Heart"
"25-34 years","Male","Bachelor’s degree (BA, AB, BS)",646,18615037.9833857,"Diseases of Heart"
"25-34 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",155,5273396.62222859,"Diseases of Heart"
"25-34 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",39,1726866.17757681,"Diseases of Heart"
"35-44 years","Female","8th grade or less",314,1940130.01330211,"Diseases of Heart"
"35-44 years","Female","9th through 12th grade with no diploma",1477,3055354.26941272,"Diseases of Heart"
"35-44 years","Female","High school graduate or GED completed",4886,13478992.7935605,"Diseases of Heart"
"35-44 years","Female","Some college credit, but not a degree",1934,8662459.42469967,"Diseases of Heart"
"35-44 years","Female","Associate degree (AA,AS)",1096,7377549.9369183,"Diseases of Heart"
"35-44 years","Female","Bachelor’s degree (BA, AB, BS)",1091,17779824.5289747,"Diseases of Heart"
"35-44 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",442,10011914.6221708,"Diseases of Heart"
"35-44 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",74,2843648.41096116,"Diseases of Heart"
"35-44 years","Male","8th grade or less",963,2383521.86322579,"Diseases of Heart"
"35-44 years","Male","9th through 12th grade with no diploma",3476,3881613.09488886,"Diseases of Heart"
"35-44 years","Male","High school graduate or GED completed",11819,18626412.1306341,"Diseases of Heart"
"35-44 years","Male","Some college credit, but not a degree",3678,9287352.1341086,"Diseases of Heart"
"35-44 years","Male","Associate degree (AA,AS)",1712,6353577.17100071,"Diseases of Heart"
"35-44 years","Male","Bachelor’s degree (BA, AB, BS)",2179,16220777.7222767,"Diseases of Heart"
"35-44 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",645,6833556.88562006,"Diseases of Heart"
"35-44 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",188,2753226.99824523,"Diseases of Heart"
"45-54 years","Female","8th grade or less",1050,2072085.49973875,"Diseases of Heart"
"45-54 years","Female","9th through 12th grade with no diploma",3255,2806803.62000732,"Diseases of Heart"
"45-54 years","Female","High school graduate or GED completed",12369,14323360.2124866,"Diseases of Heart"
"45-54 years","Female","Some college credit, but not a degree",4535,8056834.24055204,"Diseases of Heart"
"45-54 years","Female","Associate degree (AA,AS)",2905,7134393.79017566,"Diseases of Heart"
"45-54 years","Female","Bachelor’s degree (BA, AB, BS)",2707,15361099.6753744,"Diseases of Heart"
"45-54 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",1102,8772257.20219829,"Diseases of Heart"
"45-54 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",196,2308329.75946696,"Diseases of Heart"
"45-54 years","Male","8th grade or less",3065,2446323.54011485,"Diseases of Heart"
"45-54 years","Male","9th through 12th grade with no diploma",8603,3511993.44289705,"Diseases of Heart"
"45-54 years","Male","High school graduate or GED completed",32186,18000257.0073115,"Diseases of Heart"
"45-54 years","Male","Some college credit, but not a degree",9710,8161050.80197409,"Diseases of Heart"
"45-54 years","Male","Associate degree (AA,AS)",4489,5864485.46701162,"Diseases of Heart"
"45-54 years","Male","Bachelor’s degree (BA, AB, BS)",6279,14152259.5676181,"Diseases of Heart"
"45-54 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",1972,6218967.50228772,"Diseases of Heart"
"45-54 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",667,2423360.67078506,"Diseases of Heart"
"55-64 years","Female","8th grade or less",3554,2320601.29321048,"Diseases of Heart"
"55-64 years","Female","9th through 12th grade with no diploma",8745,3220697.45682495,"Diseases of Heart"
"55-64 years","Female","High school graduate or GED completed",35242,18982305.014268,"Diseases of Heart"
"55-64 years","Female","Some college credit, but not a degree",11678,9720014.44568931,"Diseases of Heart"
"55-64 years","Female","Associate degree (AA,AS)",7582,8085311.59225438,"Diseases of Heart"
"55-64 years","Female","Bachelor’s degree (BA, AB, BS)",7002,14270431.7026246,"Diseases of Heart"
"55-64 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",2300,6278204.12944329,"Diseases of Heart"
"55-64 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",463,1726280.36568503,"Diseases of Heart"
"55-64 years","Male","8th grade or less",8526,2435886.45259838,"Diseases of Heart"
"55-64 years","Male","9th through 12th grade with no diploma",21901,3955620.01090162,"Diseases of Heart"
"55-64 years","Male","High school graduate or GED completed",84085,20424520.8963519,"Diseases of Heart"
