Notes,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Education,Education Code,Deaths,Population,Crude Rate
,1-4 years,04-Jan,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Female,F,Unknown or Not Stated,9,520,Not Applicable,Not Applicable
,1-4 years,04-Jan,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Male,M,8th grade or less,1,6100,Not Applicable,Not Applicable
,1-4 years,04-Jan,Male,M,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,1-4 years,04-Jan,Male,M,Unknown or Not Stated,9,687,Not Applicable,Not Applicable
,1-4 years,04-Jan,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,5-14 years,14-May,Female,F,8th grade or less,1,6931,Not Applicable,Not Applicable
,5-14 years,14-May,Female,F,9th through 12th grade with no diploma,2,553,Not Applicable,Not Applicable
,5-14 years,14-May,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,5-14 years,14-May,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,5-14 years,14-May,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,5-14 years,14-May,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,5-14 years,14-May,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,5-14 years,14-May,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,5-14 years,14-May,Female,F,Unknown or Not Stated,9,136,Not Applicable,Not Applicable
,5-14 years,14-May,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,5-14 years,14-May,Male,M,8th grade or less,1,9539,Not Applicable,Not Applicable
,5-14 years,14-May,Male,M,9th through 12th grade with no diploma,2,906,Not Applicable,Not Applicable
,5-14 years,14-May,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,5-14 years,14-May,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,5-14 years,14-May,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,5-14 years,14-May,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,5-14 years,14-May,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,5-14 years,14-May,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,5-14 years,14-May,Male,M,Unknown or Not Stated,9,154,Not Applicable,Not Applicable
,5-14 years,14-May,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,15-24 years,15-24,Female,F,8th grade or less,1,1027,Not Applicable,Not Applicable
,15-24 years,15-24,Female,F,9th through 12th grade with no diploma,2,8559,Not Applicable,Not Applicable
,15-24 years,15-24,Female,F,High school graduate or GED completed,3,11763,Not Applicable,Not Applicable
,15-24 years,15-24,Female,F,"Some college credit, but not a degree.",4,5282,Not Applicable,Not Applicable
,15-24 years,15-24,Female,F,"Associate degree (AA,AS)",5,978,Not Applicable,Not Applicable
,15-24 years,15-24,Female,F,"Bachelor?s degree (BA, AB, BS)",6,1074,Not Applicable,Not Applicable
,15-24 years,15-24,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,71,Not Applicable,Not Applicable
,15-24 years,15-24,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Suppressed,Not Applicable,Not Applicable
,15-24 years,15-24,Female,F,Unknown or Not Stated,9,274,Not Applicable,Not Applicable
,15-24 years,15-24,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,15-24 years,15-24,Male,M,8th grade or less,1,3039,Not Applicable,Not Applicable
,15-24 years,15-24,Male,M,9th through 12th grade with no diploma,2,24841,Not Applicable,Not Applicable
,15-24 years,15-24,Male,M,High school graduate or GED completed,3,35586,Not Applicable,Not Applicable
,15-24 years,15-24,Male,M,"Some college credit, but not a degree.",4,10451,Not Applicable,Not Applicable
,15-24 years,15-24,Male,M,"Associate degree (AA,AS)",5,1726,Not Applicable,Not Applicable
,15-24 years,15-24,Male,M,"Bachelor?s degree (BA, AB, BS)",6,1746,Not Applicable,Not Applicable
,15-24 years,15-24,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,122,Not Applicable,Not Applicable
,15-24 years,15-24,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,14,Not Applicable,Not Applicable
,15-24 years,15-24,Male,M,Unknown or Not Stated,9,691,Not Applicable,Not Applicable
,15-24 years,15-24,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,25-34 years,25-34,Female,F,8th grade or less,1,1776,Not Applicable,Not Applicable
,25-34 years,25-34,Female,F,9th through 12th grade with no diploma,2,8695,Not Applicable,Not Applicable
,25-34 years,25-34,Female,F,High school graduate or GED completed,3,29405,Not Applicable,Not Applicable
,25-34 years,25-34,Female,F,"Some college credit, but not a degree.",4,11902,Not Applicable,Not Applicable
,25-34 years,25-34,Female,F,"Associate degree (AA,AS)",5,5059,Not Applicable,Not Applicable
,25-34 years,25-34,Female,F,"Bachelor?s degree (BA, AB, BS)",6,6196,Not Applicable,Not Applicable
,25-34 years,25-34,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1626,Not Applicable,Not Applicable
,25-34 years,25-34,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,394,Not Applicable,Not Applicable
,25-34 years,25-34,Female,F,Unknown or Not Stated,9,785,Not Applicable,Not Applicable
,25-34 years,25-34,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,25-34 years,25-34,Male,M,8th grade or less,1,5846,Not Applicable,Not Applicable
,25-34 years,25-34,Male,M,9th through 12th grade with no diploma,2,24136,Not Applicable,Not Applicable
,25-34 years,25-34,Male,M,High school graduate or GED completed,3,81050,Not Applicable,Not Applicable
,25-34 years,25-34,Male,M,"Some college credit, but not a degree.",4,24185,Not Applicable,Not Applicable
,25-34 years,25-34,Male,M,"Associate degree (AA,AS)",5,8182,Not Applicable,Not Applicable
,25-34 years,25-34,Male,M,"Bachelor?s degree (BA, AB, BS)",6,10450,Not Applicable,Not Applicable
,25-34 years,25-34,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1769,Not Applicable,Not Applicable
,25-34 years,25-34,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,577,Not Applicable,Not Applicable
,25-34 years,25-34,Male,M,Unknown or Not Stated,9,2059,Not Applicable,Not Applicable
,25-34 years,25-34,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,35-44 years,35-44,Female,F,8th grade or less,1,3905,Not Applicable,Not Applicable
,35-44 years,35-44,Female,F,9th through 12th grade with no diploma,2,14396,Not Applicable,Not Applicable
,35-44 years,35-44,Female,F,High school graduate or GED completed,3,47757,Not Applicable,Not Applicable
,35-44 years,35-44,Female,F,"Some college credit, but not a degree.",4,19054,Not Applicable,Not Applicable
,35-44 years,35-44,Female,F,"Associate degree (AA,AS)",5,10853,Not Applicable,Not Applicable
,35-44 years,35-44,Female,F,"Bachelor?s degree (BA, AB, BS)",6,12924,Not Applicable,Not Applicable
,35-44 years,35-44,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,5017,Not Applicable,Not Applicable
,35-44 years,35-44,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1158,Not Applicable,Not Applicable
,35-44 years,35-44,Female,F,Unknown or Not Stated,9,1927,Not Applicable,Not Applicable
,35-44 years,35-44,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,35-44 years,35-44,Male,M,8th grade or less,1,10833,Not Applicable,Not Applicable
,35-44 years,35-44,Male,M,9th through 12th grade with no diploma,2,33024,Not Applicable,Not Applicable
,35-44 years,35-44,Male,M,High school graduate or GED completed,3,106853,Not Applicable,Not Applicable
,35-44 years,35-44,Male,M,"Some college credit, but not a degree.",4,32058,Not Applicable,Not Applicable
,35-44 years,35-44,Male,M,"Associate degree (AA,AS)",5,13969,Not Applicable,Not Applicable
,35-44 years,35-44,Male,M,"Bachelor?s degree (BA, AB, BS)",6,17508,Not Applicable,Not Applicable
,35-44 years,35-44,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,4634,Not Applicable,Not Applicable
,35-44 years,35-44,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1601,Not Applicable,Not Applicable
,35-44 years,35-44,Male,M,Unknown or Not Stated,9,4409,Not Applicable,Not Applicable
,35-44 years,35-44,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,45-54 years,45-54,Female,F,8th grade or less,1,9219,Not Applicable,Not Applicable
,45-54 years,45-54,Female,F,9th through 12th grade with no diploma,2,22204,Not Applicable,Not Applicable
,45-54 years,45-54,Female,F,High school graduate or GED completed,3,84282,Not Applicable,Not Applicable
,45-54 years,45-54,Female,F,"Some college credit, but not a degree.",4,33040,Not Applicable,Not Applicable
,45-54 years,45-54,Female,F,"Associate degree (AA,AS)",5,21251,Not Applicable,Not Applicable
,45-54 years,45-54,Female,F,"Bachelor?s degree (BA, AB, BS)",6,24615,Not Applicable,Not Applicable
,45-54 years,45-54,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,9997,Not Applicable,Not Applicable
,45-54 years,45-54,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2184,Not Applicable,Not Applicable
,45-54 years,45-54,Female,F,Unknown or Not Stated,9,3801,Not Applicable,Not Applicable
,45-54 years,45-54,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,45-54 years,45-54,Male,M,8th grade or less,1,19599,Not Applicable,Not Applicable
,45-54 years,45-54,Male,M,9th through 12th grade with no diploma,2,46917,Not Applicable,Not Applicable
,45-54 years,45-54,Male,M,High school graduate or GED completed,3,163509,Not Applicable,Not Applicable
,45-54 years,45-54,Male,M,"Some college credit, but not a degree.",4,48615,Not Applicable,Not Applicable
,45-54 years,45-54,Male,M,"Associate degree (AA,AS)",5,22808,Not Applicable,Not Applicable
,45-54 years,45-54,Male,M,"Bachelor?s degree (BA, AB, BS)",6,31518,Not Applicable,Not Applicable
,45-54 years,45-54,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,9765,Not Applicable,Not Applicable
,45-54 years,45-54,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,3399,Not Applicable,Not Applicable
,45-54 years,45-54,Male,M,Unknown or Not Stated,9,9371,Not Applicable,Not Applicable
,45-54 years,45-54,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,55-64 years,55-64,Female,F,8th grade or less,1,24416,Not Applicable,Not Applicable
,55-64 years,55-64,Female,F,9th through 12th grade with no diploma,2,50757,Not Applicable,Not Applicable
,55-64 years,55-64,Female,F,High school graduate or GED completed,3,214509,Not Applicable,Not Applicable
,55-64 years,55-64,Female,F,"Some college credit, but not a degree.",4,72318,Not Applicable,Not Applicable
,55-64 years,55-64,Female,F,"Associate degree (AA,AS)",5,48700,Not Applicable,Not Applicable
,55-64 years,55-64,Female,F,"Bachelor?s degree (BA, AB, BS)",6,52101,Not Applicable,Not Applicable
,55-64 years,55-64,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,18328,Not Applicable,Not Applicable
,55-64 years,55-64,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,4336,Not Applicable,Not Applicable
,55-64 years,55-64,Female,F,Unknown or Not Stated,9,9898,Not Applicable,Not Applicable
,55-64 years,55-64,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,55-64 years,55-64,Male,M,8th grade or less,1,44565,Not Applicable,Not Applicable
,55-64 years,55-64,Male,M,9th through 12th grade with no diploma,2,99721,Not Applicable,Not Applicable
,55-64 years,55-64,Male,M,High school graduate or GED completed,3,366292,Not Applicable,Not Applicable
,55-64 years,55-64,Male,M,"Some college credit, but not a degree.",4,97650,Not Applicable,Not Applicable
,55-64 years,55-64,Male,M,"Associate degree (AA,AS)",5,47285,Not Applicable,Not Applicable
,55-64 years,55-64,Male,M,"Bachelor?s degree (BA, AB, BS)",6,66226,Not Applicable,Not Applicable
,55-64 years,55-64,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,20003,Not Applicable,Not Applicable
,55-64 years,55-64,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,8616,Not Applicable,Not Applicable
,55-64 years,55-64,Male,M,Unknown or Not Stated,9,26525,Not Applicable,Not Applicable
,55-64 years,55-64,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,65-74 years,65-74,Female,F,8th grade or less,1,47082,Not Applicable,Not Applicable
,65-74 years,65-74,Female,F,9th through 12th grade with no diploma,2,68654,Not Applicable,Not Applicable
,65-74 years,65-74,Female,F,High school graduate or GED completed,3,364256,Not Applicable,Not Applicable
,65-74 years,65-74,Female,F,"Some college credit, but not a degree.",4,122648,Not Applicable,Not Applicable
,65-74 years,65-74,Female,F,"Associate degree (AA,AS)",5,83630,Not Applicable,Not Applicable
,65-74 years,65-74,Female,F,"Bachelor?s degree (BA, AB, BS)",6,98708,Not Applicable,Not Applicable
,65-74 years,65-74,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,45277,Not Applicable,Not Applicable
,65-74 years,65-74,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,9191,Not Applicable,Not Applicable
,65-74 years,65-74,Female,F,Unknown or Not Stated,9,15838,Not Applicable,Not Applicable
,65-74 years,65-74,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,65-74 years,65-74,Male,M,8th grade or less,1,67858,Not Applicable,Not Applicable
,65-74 years,65-74,Male,M,9th through 12th grade with no diploma,2,102315,Not Applicable,Not Applicable
,65-74 years,65-74,Male,M,High school graduate or GED completed,3,482829,Not Applicable,Not Applicable
,65-74 years,65-74,Male,M,"Some college credit, but not a degree.",4,173282,Not Applicable,Not Applicable
,65-74 years,65-74,Male,M,"Associate degree (AA,AS)",5,84786,Not Applicable,Not Applicable
,65-74 years,65-74,Male,M,"Bachelor?s degree (BA, AB, BS)",6,142269,Not Applicable,Not Applicable
,65-74 years,65-74,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,52246,Not Applicable,Not Applicable
,65-74 years,65-74,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,24630,Not Applicable,Not Applicable
,65-74 years,65-74,Male,M,Unknown or Not Stated,9,35028,Not Applicable,Not Applicable
,65-74 years,65-74,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,75-84 years,75-84,Female,F,8th grade or less,1,88654,Not Applicable,Not Applicable
,75-84 years,75-84,Female,F,9th through 12th grade with no diploma,2,100248,Not Applicable,Not Applicable
,75-84 years,75-84,Female,F,High school graduate or GED completed,3,540187,Not Applicable,Not Applicable
,75-84 years,75-84,Female,F,"Some college credit, but not a degree.",4,145035,Not Applicable,Not Applicable
,75-84 years,75-84,Female,F,"Associate degree (AA,AS)",5,89757,Not Applicable,Not Applicable
,75-84 years,75-84,Female,F,"Bachelor?s degree (BA, AB, BS)",6,124766,Not Applicable,Not Applicable
,75-84 years,75-84,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,63315,Not Applicable,Not Applicable
,75-84 years,75-84,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,12085,Not Applicable,Not Applicable
,75-84 years,75-84,Female,F,Unknown or Not Stated,9,17085,Not Applicable,Not Applicable
,75-84 years,75-84,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,75-84 years,75-84,Male,M,8th grade or less,1,97930,Not Applicable,Not Applicable
,75-84 years,75-84,Male,M,9th through 12th grade with no diploma,2,99645,Not Applicable,Not Applicable
,75-84 years,75-84,Male,M,High school graduate or GED completed,3,487611,Not Applicable,Not Applicable
,75-84 years,75-84,Male,M,"Some college credit, but not a degree.",4,169549,Not Applicable,Not Applicable
,75-84 years,75-84,Male,M,"Associate degree (AA,AS)",5,79371,Not Applicable,Not Applicable
,75-84 years,75-84,Male,M,"Bachelor?s degree (BA, AB, BS)",6,177157,Not Applicable,Not Applicable
,75-84 years,75-84,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,88462,Not Applicable,Not Applicable
,75-84 years,75-84,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,48122,Not Applicable,Not Applicable
,75-84 years,75-84,Male,M,Unknown or Not Stated,9,23765,Not Applicable,Not Applicable
,75-84 years,75-84,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,85+ years,85+,Female,F,8th grade or less,1,180230,Not Applicable,Not Applicable
,85+ years,85+,Female,F,9th through 12th grade with no diploma,2,137469,Not Applicable,Not Applicable
,85+ years,85+,Female,F,High school graduate or GED completed,3,799369,Not Applicable,Not Applicable
,85+ years,85+,Female,F,"Some college credit, but not a degree.",4,172434,Not Applicable,Not Applicable
,85+ years,85+,Female,F,"Associate degree (AA,AS)",5,99577,Not Applicable,Not Applicable
,85+ years,85+,Female,F,"Bachelor?s degree (BA, AB, BS)",6,170310,Not Applicable,Not Applicable
,85+ years,85+,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,73318,Not Applicable,Not Applicable
,85+ years,85+,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,14125,Not Applicable,Not Applicable
,85+ years,85+,Female,F,Unknown or Not Stated,9,19383,Not Applicable,Not Applicable
,85+ years,85+,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,85+ years,85+,Male,M,8th grade or less,1,118134,Not Applicable,Not Applicable
,85+ years,85+,Male,M,9th through 12th grade with no diploma,2,77289,Not Applicable,Not Applicable
,85+ years,85+,Male,M,High school graduate or GED completed,3,395540,Not Applicable,Not Applicable
,85+ years,85+,Male,M,"Some college credit, but not a degree.",4,119138,Not Applicable,Not Applicable
,85+ years,85+,Male,M,"Associate degree (AA,AS)",5,53441,Not Applicable,Not Applicable
,85+ years,85+,Male,M,"Bachelor?s degree (BA, AB, BS)",6,173968,Not Applicable,Not Applicable
,85+ years,85+,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,83929,Not Applicable,Not Applicable
,85+ years,85+,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,58814,Not Applicable,Not Applicable
,85+ years,85+,Male,M,Unknown or Not Stated,9,12607,Not Applicable,Not Applicable
,85+ years,85+,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,Not Stated,NS,Female,F,8th grade or less,1,Suppressed,Not Applicable,Not Applicable
,Not Stated,NS,Female,F,9th through 12th grade with no diploma,2,Suppressed,Not Applicable,Not Applicable
,Not Stated,NS,Female,F,High school graduate or GED completed,3,Suppressed,Not Applicable,Not Applicable
,Not Stated,NS,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,Not Stated,NS,Female,F,"Associate degree (AA,AS)",5,Suppressed,Not Applicable,Not Applicable
,Not Stated,NS,Female,F,"Bachelor?s degree (BA, AB, BS)",6,Suppressed,Not Applicable,Not Applicable
,Not Stated,NS,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,Not Stated,NS,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,Not Stated,NS,Female,F,Unknown or Not Stated,9,46,Not Applicable,Not Applicable
,Not Stated,NS,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,Not Stated,NS,Male,M,8th grade or less,1,Suppressed,Not Applicable,Not Applicable
,Not Stated,NS,Male,M,9th through 12th grade with no diploma,2,Suppressed,Not Applicable,Not Applicable
,Not Stated,NS,Male,M,High school graduate or GED completed,3,Suppressed,Not Applicable,Not Applicable
,Not Stated,NS,Male,M,"Some college credit, but not a degree.",4,Suppressed,Not Applicable,Not Applicable
,Not Stated,NS,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,Not Stated,NS,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,Not Stated,NS,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,Suppressed,Not Applicable,Not Applicable
,Not Stated,NS,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,Not Stated,NS,Male,M,Unknown or Not Stated,9,191,Not Applicable,Not Applicable
,Not Stated,NS,Male,M,Not Available,10,0,Not Applicable,Not Applicable
