Notes,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate
,2023,2023,"Apr., 2023 ",Apr-23,251834,Not Applicable,Not Applicable
,2023,2023,"May, 2023 ",May-23,252167,Not Applicable,Not Applicable
,2023,2023,"Jun., 2023 ",Jun-23,240809,Not Applicable,Not Applicable
,2023,2023,"Jul., 2023 ",Jul-23,246581,Not Applicable,Not Applicable
,2023,2023,"Aug., 2023 ",Aug-23,249931,Not Applicable,Not Applicable
,2023,2023,"Sep., 2023 ",Sep-23,244478,Not Applicable,Not Applicable
,2023,2023,"Oct., 2023 ",Oct-23,258159,Not Applicable,Not Applicable
,2023,2023,"Nov., 2023 ",Nov-23,257440,Not Applicable,Not Applicable
,2023,2023,"Dec., 2023 ",Dec-23,283374,Not Applicable,Not Applicable
Total,2023,2023,,,3090964,Not Applicable,Not Applicable
Total,,,,,18912824,Not Applicable,Not Applicable
