Notes,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Education,Education Code,Deaths,Population,Crude Rate
,3 years,3,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,3 years,3,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,3 years,3,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,3 years,3,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,3 years,3,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,3 years,3,Male,M,Unknown or Not Stated,9,59,Not Applicable,Not Applicable
,3 years,3,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,4 years,4,Female,F,8th grade or less,1,389,Not Applicable,Not Applicable
,4 years,4,Female,F,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,4 years,4,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,4 years,4,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,4 years,4,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,4 years,4,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,4 years,4,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,4 years,4,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,4 years,4,Female,F,Unknown or Not Stated,9,37,Not Applicable,Not Applicable
,4 years,4,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,4 years,4,Male,M,8th grade or less,1,458,Not Applicable,Not Applicable
,4 years,4,Male,M,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,4 years,4,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,4 years,4,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,4 years,4,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,4 years,4,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,4 years,4,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,4 years,4,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,4 years,4,Male,M,Unknown or Not Stated,9,33,Not Applicable,Not Applicable
,4 years,4,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,5 years,5,Female,F,8th grade or less,1,361,Not Applicable,Not Applicable
,5 years,5,Female,F,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,5 years,5,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,5 years,5,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,5 years,5,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,5 years,5,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,5 years,5,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,5 years,5,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,5 years,5,Female,F,Unknown or Not Stated,9,23,Not Applicable,Not Applicable
,5 years,5,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,5 years,5,Male,M,8th grade or less,1,435,Not Applicable,Not Applicable
,5 years,5,Male,M,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,5 years,5,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,5 years,5,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,5 years,5,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,5 years,5,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,5 years,5,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,5 years,5,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,5 years,5,Male,M,Unknown or Not Stated,9,27,Not Applicable,Not Applicable
,5 years,5,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,6 years,6,Female,F,8th grade or less,1,312,Not Applicable,Not Applicable
,6 years,6,Female,F,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,6 years,6,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,6 years,6,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,6 years,6,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,6 years,6,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,6 years,6,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,6 years,6,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,6 years,6,Female,F,Unknown or Not Stated,9,13,Not Applicable,Not Applicable
,6 years,6,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,6 years,6,Male,M,8th grade or less,1,408,Not Applicable,Not Applicable
,6 years,6,Male,M,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,6 years,6,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,6 years,6,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,6 years,6,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,6 years,6,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,6 years,6,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,6 years,6,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,6 years,6,Male,M,Unknown or Not Stated,9,10,Not Applicable,Not Applicable
,6 years,6,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,7 years,7,Female,F,8th grade or less,1,280,Not Applicable,Not Applicable
,7 years,7,Female,F,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,7 years,7,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,7 years,7,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,7 years,7,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,7 years,7,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,7 years,7,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,7 years,7,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,7 years,7,Female,F,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,7 years,7,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,7 years,7,Male,M,8th grade or less,1,381,Not Applicable,Not Applicable
,7 years,7,Male,M,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,7 years,7,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,7 years,7,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,7 years,7,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,7 years,7,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,7 years,7,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,7 years,7,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,7 years,7,Male,M,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,7 years,7,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,8 years,8,Female,F,8th grade or less,1,319,Not Applicable,Not Applicable
,8 years,8,Female,F,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,8 years,8,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,8 years,8,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,8 years,8,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,8 years,8,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,8 years,8,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,8 years,8,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,8 years,8,Female,F,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,8 years,8,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,8 years,8,Male,M,8th grade or less,1,341,Not Applicable,Not Applicable
,8 years,8,Male,M,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,8 years,8,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,8 years,8,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,8 years,8,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,8 years,8,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,8 years,8,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,8 years,8,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,8 years,8,Male,M,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,8 years,8,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,9 years,9,Female,F,8th grade or less,1,303,Not Applicable,Not Applicable
,9 years,9,Female,F,9th through 12th grade with no diploma,2,Suppressed,Not Applicable,Not Applicable
,9 years,9,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,9 years,9,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,9 years,9,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,9 years,9,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,9 years,9,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,9 years,9,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,9 years,9,Female,F,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,9 years,9,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,9 years,9,Male,M,8th grade or less,1,370,Not Applicable,Not Applicable
,9 years,9,Male,M,9th through 12th grade with no diploma,2,Suppressed,Not Applicable,Not Applicable
,9 years,9,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,9 years,9,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,9 years,9,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,9 years,9,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,9 years,9,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,9 years,9,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,9 years,9,Male,M,Unknown or Not Stated,9,14,Not Applicable,Not Applicable
,9 years,9,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,10 years,10,Female,F,8th grade or less,1,316,Not Applicable,Not Applicable
,10 years,10,Female,F,9th through 12th grade with no diploma,2,Suppressed,Not Applicable,Not Applicable
,10 years,10,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,10 years,10,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,10 years,10,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,10 years,10,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,10 years,10,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,10 years,10,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,10 years,10,Female,F,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,10 years,10,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,10 years,10,Male,M,8th grade or less,1,404,Not Applicable,Not Applicable
,10 years,10,Male,M,9th through 12th grade with no diploma,2,Suppressed,Not Applicable,Not Applicable
,10 years,10,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,10 years,10,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,10 years,10,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,10 years,10,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,10 years,10,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,10 years,10,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,10 years,10,Male,M,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,10 years,10,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,11 years,11,Female,F,8th grade or less,1,343,Not Applicable,Not Applicable
,11 years,11,Female,F,9th through 12th grade with no diploma,2,Suppressed,Not Applicable,Not Applicable
,11 years,11,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,11 years,11,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,11 years,11,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,11 years,11,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,11 years,11,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,11 years,11,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,11 years,11,Female,F,Unknown or Not Stated,9,11,Not Applicable,Not Applicable
,11 years,11,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,11 years,11,Male,M,8th grade or less,1,461,Not Applicable,Not Applicable
,11 years,11,Male,M,9th through 12th grade with no diploma,2,0,Not Applicable,Not Applicable
,11 years,11,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,11 years,11,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,11 years,11,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,11 years,11,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,11 years,11,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,11 years,11,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,11 years,11,Male,M,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,11 years,11,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,12 years,12,Female,F,8th grade or less,1,460,Not Applicable,Not Applicable
,12 years,12,Female,F,9th through 12th grade with no diploma,2,Suppressed,Not Applicable,Not Applicable
,12 years,12,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,12 years,12,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,12 years,12,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,12 years,12,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,12 years,12,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,12 years,12,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,12 years,12,Female,F,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,12 years,12,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,12 years,12,Male,M,8th grade or less,1,535,Not Applicable,Not Applicable
,12 years,12,Male,M,9th through 12th grade with no diploma,2,Suppressed,Not Applicable,Not Applicable
,12 years,12,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,12 years,12,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,12 years,12,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,12 years,12,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,12 years,12,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,12 years,12,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,12 years,12,Male,M,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,12 years,12,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,13 years,13,Female,F,8th grade or less,1,527,Not Applicable,Not Applicable
,13 years,13,Female,F,9th through 12th grade with no diploma,2,20,Not Applicable,Not Applicable
,13 years,13,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,13 years,13,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,13 years,13,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,13 years,13,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,13 years,13,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,13 years,13,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,13 years,13,Female,F,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,13 years,13,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,13 years,13,Male,M,8th grade or less,1,766,Not Applicable,Not Applicable
,13 years,13,Male,M,9th through 12th grade with no diploma,2,18,Not Applicable,Not Applicable
,13 years,13,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,13 years,13,Male,M,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,13 years,13,Male,M,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,13 years,13,Male,M,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,13 years,13,Male,M,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,13 years,13,Male,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,13 years,13,Male,M,Unknown or Not Stated,9,13,Not Applicable,Not Applicable
,13 years,13,Male,M,Not Available,10,0,Not Applicable,Not Applicable
,14 years,14,Female,F,8th grade or less,1,429,Not Applicable,Not Applicable
,14 years,14,Female,F,9th through 12th grade with no diploma,2,288,Not Applicable,Not Applicable
,14 years,14,Female,F,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
,14 years,14,Female,F,"Some college credit, but not a degree.",4,0,Not Applicable,Not Applicable
,14 years,14,Female,F,"Associate degree (AA,AS)",5,0,Not Applicable,Not Applicable
,14 years,14,Female,F,"Bachelor?s degree (BA, AB, BS)",6,0,Not Applicable,Not Applicable
,14 years,14,Female,F,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,Not Applicable,Not Applicable
,14 years,14,Female,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,Not Applicable,Not Applicable
,14 years,14,Female,F,Unknown or Not Stated,9,Suppressed,Not Applicable,Not Applicable
,14 years,14,Female,F,Not Available,10,0,Not Applicable,Not Applicable
,14 years,14,Male,M,8th grade or less,1,734,Not Applicable,Not Applicable
,14 years,14,Male,M,9th through 12th grade with no diploma,2,514,Not Applicable,Not Applicable
,14 years,14,Male,M,High school graduate or GED completed,3,0,Not Applicable,Not Applicable
